nid,title,category,full_path,cnn_valid,cnn_emb_idx
542663,"EDGARD STEPHENS, PROFESSOR OF ENVIRONMENTAL SCIENCE AT THE STATEWIDE AIR POLLUTION RESEARCH CENTER, USING OPTICAL PARTICLE COUNTER",Pollution and Environmental Damage,data/documerica_subset\542663.jpg,True,0
542673,SMOG OVER LOS ANGELES IS MONITORED BY SCIENTISTS FROM NASA AND STATEWIDE AIR POLLUTION RESEARCH CENTER. THEY ARE TAKING HYDROCARBON SAMPLES THROUGH NOSE OF NASA-SUPPLIED PLANE,Pollution and Environmental Damage,data/documerica_subset\542673.jpg,True,1
542728,HOLIDAY CROWDS VISIT GENERAL SHERMAN TREE,Nature and Wildlife,data/documerica_subset\542728.jpg,True,2
542759,AIR POLLUTION CONTROL DEPARTMENT OFFICERS MEL SCHRECKENGOST AND DICK FEHRENBACK DISCUSSING CITATION WITH DRIVER OF VIOLATING TRUCK,Transportation and Infrastructure,data/documerica_subset\542759.jpg,True,3
542766,AIR POLLUTION CONTROL CENTER,Urban Landscape,data/documerica_subset\542766.jpg,True,4
542883,CALIFORNIA--MOONSTONE BEACH,Rural Landscape,data/documerica_subset\542883.jpg,True,5
543371,"Packing Expedition Of Explorer Post 397 Of Los Angeles Area. Hike Started At 7500 Ft., Finished At Frozen Monarch Lake (11,200 ft.)",Nature and Wildlife,data/documerica_subset\543371.jpg,True,6
543533,Scum Along Lake Shore,Pollution and Environmental Damage,data/documerica_subset\543533.jpg,True,7
543584,Condominium Construction,Pollution and Environmental Damage,data/documerica_subset\543584.jpg,True,8
543750,"SETTLING POND WHERE WASTES ARE ALLOWED TO ""SETTLE OUT"" FROM MILLING PROCESS AT IDARADO MILL",Pollution and Environmental Damage,data/documerica_subset\543750.jpg,True,9
543756,ACID AND RADIUM 226 LEAK FROM URANIUM MILL TAILINGS POND INTO THE SAN MIGUEL RIVER,Pollution and Environmental Damage,data/documerica_subset\543756.jpg,True,10
543765,OPEN DUMP IN THE SAN JUAN MOUNTAINS. THE SAN MIGUEL RIVER FLOWS PAST THE DUMP,Pollution and Environmental Damage,data/documerica_subset\543765.jpg,True,11
543848,MILL AND MINE TAILINGS PILES LEFT FROM ABANDONED GOLD MILL,Industrial Site,data/documerica_subset\543848.jpg,True,12
544102,PHELPS LODGE CORP.'S ABANDONED MINE TOWER AT THE LAVENDER PIT MINE,Pollution and Environmental Damage,data/documerica_subset\544102.jpg,True,13
544115,ARIZONA--LAKE POWELL,Transportation and Infrastructure,data/documerica_subset\544115.jpg,True,14
544135,STRIP MINING OPERATIONS AT THE NAVAJO MINE OF THE UTAH CONSTRUCTION AND MINING COMPANY. THE NAVAJO MINE SERVICES THE FOUR CORNERS GENERATING PLANT,Pollution and Environmental Damage,data/documerica_subset\544135.jpg,True,15
544235,CITIZENS PROTEST FURTHER DESTRUCTION OF MISSISSIPPI RIVER BANK. THEY WANT THE AREA PRESERVED AS A PARK,Industrial Site,data/documerica_subset\544235.jpg,True,16
544357,NAVAHO BOY LEANS AGAINST TOWER OF DISCARDED TIRES. LACK OF DISPOSAL FACILITIES IS A COMMON PROBLEM IN REMOTE AREAS OF THE NAVAHO RESERVATION,Agriculture and Farming,data/documerica_subset\544357.jpg,True,17
544537,SHARK VALLEY RANGER STATION,Transportation and Infrastructure,data/documerica_subset\544537.jpg,True,18
544647,LITTER LEFT BY VISITORS IN THE TAMIAMI CANAL AREA BESIDE EVERGLADES NATIONAL PARK,Pollution and Environmental Damage,data/documerica_subset\544647.jpg,True,19
544704,SETTING SUN AMID SMOKE CLOUD,Industrial Site,data/documerica_subset\544704.jpg,True,20
544895,NARROW GORGE CARVED IN THE SANDSTONE OF ESCALANTE CANYON,Nature and Wildlife,data/documerica_subset\544895.jpg,True,21
544965,"JELLYFISH, AND THEIR ABILITY TO FLUORESCE, IS THE RESEARCH ENGAGING THIS GRADUATE STUDENT AT THE MARINE BIOLOGY LABORATORY OF THE UNIVERSITY OF WASHINGTON",Pollution and Environmental Damage,data/documerica_subset\544965.jpg,True,22
544970,"SMOKE FROM LUMBER MILL'S ""TEEPEE"" BURNER OBSCURES ADMINISTRATION BUILDING",Pollution and Environmental Damage,data/documerica_subset\544970.jpg,True,23
545304,"ABANDONED CAR IN CLEAR CREEK CANYON, NEAR DUMONT",Transportation and Infrastructure,data/documerica_subset\545304.jpg,True,24
545435,CHIMNEYS OF U.S. STEEL PLANT EMIT SMOKE 24 HOURS A DAY,Pollution and Environmental Damage,data/documerica_subset\545435.jpg,True,25
545483,ENLARGED LUNG OF EMPHYSEMA VICTIM. SEVERE AIR POLLUTION INCREASES RISK OF RESPIRATORY AND PULMONARY DISEASES AMONG WORKERS OF THE BIRMINGHAM AREA,Pollution and Environmental Damage,data/documerica_subset\545483.jpg,True,26
545506,TRASH PILES HIGH IN BIRMINGHAM STREET,Urban Landscape,data/documerica_subset\545506.jpg,True,27
545515,MEMBER OF WEEKEND TRIP TO BANKHEAD NATIONAL FOREST. GASP (GREATER SOCIETY TO STOP POLLUTION) ORGANIZED THE TRIP TO DRAMATIZE BATTLE AGAINST CLEAR-CUTTING HERE. BANKHEAD NATIONAL FOREST IS 90 MILES NORTH OF BIRMINGHAM,Nature and Wildlife,data/documerica_subset\545515.jpg,True,28
545663,"EPA MAN CHECKS LOG BOOM FOR LEAKAGE OF OIL AND DEBRIS FOLLOWING A MASSIVE OIL SPILL INTO THE SAN JUAN RIVER. ORIGIN OF THE SPILL WAS A BURST PIPELINE, 200 MILES UPSTREAM. MADE CHIEFLY OF TELEPHONE POLES, THE BOOM HELD THE OIL IN CHECK UNTIL FLOOD CONDITIONS CAUSED IT TO OVERFLOW INTO LAKE POWELL. CLEAN-UP OPERATIONS, INVOLVING CREWS FROM PIPELINE COMPANY, ARMY, COAST GUARD, AND OTHER AGENCIES WERE SUPERVISED BY EPA",Pollution and Environmental Damage,data/documerica_subset\545663.jpg,True,29
545677,"UNLOADING OIL LADEN DEBRIS: PART OF EPA SUPERVISED CLEAN-UP OF THE SAN JUAN RIVER OIL SPILL. 285,000 GALLONS OF CRUDE OIL SPILLED FROM A BURST PIPELINE AND FLOWED 200 MILES DOWNSTREAM BEFORE IT WAS CONTAINED BY A LOG BOOM. THIS DISPOSAL SITE WAS DUG IN A HILLTOP ABOUT A QUARTER MILE FROM THE BOOM",Pollution and Environmental Damage,data/documerica_subset\545677.jpg,True,30
