nid,title,category,full_path
556086,"FIREMAN, LEFT, AND ENGINEER IN THE CAB OF THE EMPIRE BUILDER PASSENGER TRAIN AS IT HEADS WEST FROM CHICAGO TO EAST GLACIER PARK MONTANA, AND SEATTLE, WASHINGTON. AMTRAK, SINCE IT ASSUMED RESPONSIBILITY FOR MOST U.S. INTERCITY RAIL PASSENGER SERVICE IN 1971 HAS BEEN WORKING TO IMPROVE FACILITIES AND ATTRACT RIDERS BY USING METHODS EMPLOYED BY THE AIRLINES SUCH AS COMPUTERIZED RESERVATIONS",People and Community,data/documerica_subset\556086.jpg
545483,ENLARGED LUNG OF EMPHYSEMA VICTIM. SEVERE AIR POLLUTION INCREASES RISK OF RESPIRATORY AND PULMONARY DISEASES AMONG WORKERS OF THE BIRMINGHAM AREA,Pollution and Environmental Damage,data/documerica_subset\545483.jpg
548702,"MANGROVE TREES GROWING OFF-SHORE FROM THE STATE PARK AT LONG KEY. MANGROVES, IMPORTANT TO THE AREA'S ECOSYSTEM, HAVE BEEN CLEARED OUT IN GREAT NUMBERS BY LAND DEVELOPERS. STUDIES INDICATE THAT THE REMOVAL OF THE TREES, AMONG OTHER HARMFUL EFFECTS THREATENS THE FOOD CHAIN NECESSARY TO MARINE LIFE AND, THEREFORE ENDANGERS THE LOCAL FISHERIES",Urban Landscape,data/documerica_subset\548702.jpg
545775,"EKKER BUTTE RISES IN THE CRYSTAL AIR OF CANYONLANDS NATIONAL PARK. THE SMALLER ARCHES NATIONAL PARK LIES JUST TO THE NORTH OF THE TOWN. BATES WILSON, SUPERINTENDENT OF BOTH PARKS, SAYS THEIR MOST IMPORTANT FEATURE AT THIS TIME IS THEIR CLEAR ATMOSPHERE. HE FEARS THIS WILL BE HARMED SOON BY THE OPERATION OF GIANT COAL-BURNING POWER PLANTS IN UTAH AND ADJOINING STATES. SOME PEOPLE FEEL THAT THE AIR IS ALREADY BEGINNING TO SUFFER FROM THE EFFECTS OF THE HUGE PLANT AT SHIPROCK, NEW MEXICO",Rural Landscape,data/documerica_subset\545775.jpg
544704,SETTING SUN AMID SMOKE CLOUD,Urban Landscape,data/documerica_subset\544704.jpg
550001,COPLEY SQUARE AT 9 A.M. JOHN HANCOCK BUILDING AND TRINITY CHURCH,Urban Landscape,data/documerica_subset\550001.jpg
553863,"NATIONAL METALS JUNKYARD. (FROM THE SITES EXHIBITION. FOR OTHER IMAGES IN THIS ASSIGNMENT, SEE FICHE NUMBERS 38, 39, 40, 58.)",Industrial Site,data/documerica_subset\553863.jpg
551280,FISHERMAN LAUNCHES HIS BOAT INTO THE GRAND GLAIZE ARM OF THE LAKE FROM THE CAMP-GROUNDS IN LAKE OF THE OZARKS STATE PARK,People and Community,data/documerica_subset\551280.jpg
542766,AIR POLLUTION CONTROL CENTER,Urban Landscape,data/documerica_subset\542766.jpg
550665,"FISHING IN THE ANDROSCOGGIN RIVER IN THE ""13-MILE WOOD"" AREA NEAR ERROL. THE RIVER RISES IN NEARBY LAKE UMBAGOG ON THE MAINE-NEW HAMPSHIRE BOUNDARY",Rural Landscape,data/documerica_subset\550665.jpg
