comment_id,comment_text,gold,zero_shot,fine_tuned,zero_shot_output,fine_tuned_output
source1_32013536_4,"Stop it with the subtle (not really) insinuation. 99% of people who oppose the abuse of our housing market by 'foreign' money would oppose it just as much if it was 'foreign' white Russians with blue eye and blond hair. The problem is not who the buyers are, it's what they are doing to our quality of life.",yes,yes,yes,"LABEL: yes
REASON: The comment provides a specific point by identifying the issue as the actions of the buyers rather than their nationality.",LABEL: yes
source1_32013536_101,"Certainly. The 15% tax on 'non-residents' is the most blatant and offensive racist attack I have witnessed in recent memory. I am shocked that so few Canadians see it as such. What will it take to wake people up to the xenophobic nature of this tax? We should be welcoming wealthy immigrants to our country for many reasons, not the least of which is their potential to contribute to legitimate economic growth.",yes,yes,yes,"LABEL: yes
REASON: The comment provides a specific point about the 15% tax on non-residents, offers a personal and critical perspective, and calls for action to address the issue.",LABEL: yes
source1_32013536_30,please.... man what a rag this thing has turned into .,no,no,no,"LABEL: no
REASON: The comment is an insult and lacks constructive feedback.",LABEL: no
source1_26373964_146,And we wont be fooled by Justin and Thomas.,no,no,no,"LABEL: no
REASON: The comment is an insult and lacks constructive feedback.",LABEL: no
source1_32803341_71,There were KKK members who voted for Trump. There were Maoists and Stalinists who voted for Clinton. Did sex play a role. Sure. Some people voted for Hillary just because she was a women. Some people voted against her just because she was a woman. In depth analysis has just begun but my guess is that Trump won because all the people outside the cities are disenfranchised and wanted their voice heard and Hillary did not speak to them. A woman will be president when she fits the voice of the electorate. Hillary did not lose because she was a woman. Hillary lost because she was Hillary.,yes,no,yes,"LABEL: no
REASON: The comment contains personal attacks, unsupported assertions, and is not constructive.",LABEL: yes
source1_32013536_89,"The 15% tax helps pay for things like Professor Yu's money from the Canadian Federal Government for $950,000 to study things he likes to study. In China the government locks up Canadians in jail and pays them nothing. Good grief.",no,no,no,"LABEL: no
REASON: The comment is not constructive because it is an unsupported assertion and contains a sarcastic tone with no substantive argument.",LABEL: no
source1_32746841_48,Trudeau might want to rethink his selection of Chrystia Freeland as Trade Minister. I doubt whether the whitehouse will be interested in her socialist views.,yes,no,no,"LABEL: no
REASON: The comment is not constructive because it is an insult and lacks specific evidence or a personal experience.",LABEL: no
source1_29425530_40_0,So should Canada!,no,no,no,"LABEL: no
REASON: The comment is an insult and lacks constructive feedback.",LABEL: no
source1_32746841_122,Sorry folks but the man is a real estate tycoon. I have heard these types described as driven by ego and money - my building is bigger than your building. I have little faith in this guy BUT it is early and he might surprise me.,no,no,no,"LABEL: no
REASON: The comment is not constructive because it is an insult, uses sarcasm, and lacks specific evidence or a solution.",LABEL: no
source1_21094039_19,"Last week it was the call for a national pharma care program to pay for drugs. Now it is day care. I guess we no longer want responsibility for ourselves but expect government to look after everything for us. We cannot properly fund health care as it is and people think we should institute another expensive universal government program. As usual, it boils down to who pays and I suspect many think that someone else other than himself or herself will be paying. You know, like corporations, banks and the rich. We are overtaxed in this country as it is. Let's focus on funding healthcare and re-listing services de-listed by governments. As well, let's think about debt re-payment so that we do not leave a mountain of bills for the next generation.",yes,yes,yes,"LABEL: yes
REASON: The comment provides specific points, offers solutions, and engages with the article's argument by addressing funding responsibilities and suggesting debt repayment.",LABEL: yes
