nid,img_path,reference_title,category,draft_caption
554902,554902.jpg,"YOUNG MAN PICKS LEAVES FROM HIS GIRL'S HAIR AFTER THEY HAD EMBRACED ON THE BANKS OF THE FRIO CANYON RIVER NEAR LEAKEY, TEXAS AND SAN ANTONIO",Urban Landscape,An archival image related to urban landscape.
552788,552788.jpg,"EXHIBIT AT THE FIRST SYMPOSIUM ON LOW POLLUTION POWER SYSTEMS DEVELOPMENT HELD AT THE MARRIOTT MOTOR INN, ANN ARBOR VEHICLES AND HARDWARE WERE ASSEMBLED AT THE EPA ANN ARBOR LABORATORY. PART OF THE EXHIBIT WAS HELD IN THE MOTEL PARKING LOT SEEN HERE ARE SYMPOSIUM PARTICIPANTS WITH GENERAL MOTORS GASOLINE POWERED VEHICLE (FOREGROUND) AND, IN BACKGROUND, THE EPA/WILLIAMS TURBINE CAR",People and Community,An archival image related to people and community.
544235,544235.jpg,CITIZENS PROTEST FURTHER DESTRUCTION OF MISSISSIPPI RIVER BANK. THEY WANT THE AREA PRESERVED AS A PARK,People and Community,An archival image related to people and community.
550134,550134.jpg,CLEVELAND ON LAKE ERIE,Urban Landscape,An archival image related to urban landscape.
555970,555970.jpg,"CHILDREN SLEEPING IN ONE OF THE CHAIR CARS ON THE SOUTHWEST LIMITED, AN OVERNIGHT TRAIN FROM LOS ANGELES, CALIFORNIA, TO ALBUQUERQUE, NEW MEXICO. COMPARTMENTS ARE AVAILABLE FOR PASSENGERS WHO WISH TO PAY MORE MONEY. THE TRAIN ALSO HAS A DOME CAR, DINING CAR AND LOUNGE CAR. IT ENDS ITS RUN IN CHICAGO",Transportation and Infrastructure,An archival image related to transportation and infrastructure.
557823,557823.jpg,"ROCKY MOUNTAIN STREAM TYPICAL OF THOSE IN THE AREA NEAR THE FLUME, A NATURAL 800-FOOT LONG CHASM FORMED BEFORE THE ICE AGE, IN THE FRANCONIA NOTCH STATE PARK, SOUTH OF FRANCONIA, NEW HAMPSHIRE OTHER ATTRACTIONS IN THE STATE PARK INCLUDE AN AERIAL TRAMWAY THAT CARRIES PASSENGERS TO THE TOP OF 4,200-FOOT CANNON MOUNTAIN, AND THE OLD MAN OF THE MOUNTAIN, A 40-FOOT PROFILE MADE FAMOUS BY NATHANIEL HAWTHORNE. THE AREA IS PART OF THE WHITE MOUNTAIN NATIONAL FOREST",Rural Landscape,An archival image related to rural landscape.
549774,549774.jpg,"ILLEGAL DUMPING AREA OFF THE NEW JERSEY TURNPIKE, FACING MANHATTAN ACROSS THE HUDSON RIVER. TO THE SOUTH IS THE LANDFILL SITE OF THE PROPOSED LIBERTY STATE PARK",Urban Landscape,An archival image related to urban landscape.
547878,547878.jpg,Garbage Outside a Seafood Restaurant in Sheepshead Bay,Urban Landscape,An archival image related to urban landscape.
544537,544537.jpg,SHARK VALLEY RANGER STATION,Urban Landscape,An archival image related to urban landscape.
557002,557002.jpg,"AERIAL VIEW OF CITY WATER RESERVOIR OF BREMERTON. IT IS LOCATED SOUTHEAST OF BREMERTON IN SOUTHERN KITSAP COUNTY. THIS COMMUNITY AND OTHERS LIKE IT WILL BE AFFECTED BY POPULATION GROWTH WHEN THE NAVY'S TRIDENT SUBMARINE BASE IS BUILT NEARBY. A ""NEW CITY"" IS PROPOSED TO HOUSE A SUBSTANTIAL PORTION OF THE PROJECTED 27,000 PEOPLE WHO WILL MOVE INTO THE AREA WHEN THE NAVAL INSTALLATION IS COMPLETED",Urban Landscape,An archival image related to urban landscape.
557279,557279.jpg,NEW HOUSING HAS REPLACED THE OLD RUNDOWN AREA OF NORTHSIDE. THE LOW-COST DWELLINGS ARE NEAR THE CENTRAL BUSINESS DISTRICT AND EASILY ACCESSIBLE TO DOWNTOWN BY PUBLIC TRANSIT OR BY WALKING. THE FORMER SLUM AREA IS ATTRACTING AN INCREASING NUMBER OF PEOPLE WHO VIEW CITY LIFE AS AN ATTRACTIVE ALTERNATIVE TO THE SUBURBS,Urban Landscape,An archival image related to urban landscape.
544135,544135.jpg,STRIP MINING OPERATIONS AT THE NAVAJO MINE OF THE UTAH CONSTRUCTION AND MINING COMPANY. THE NAVAJO MINE SERVICES THE FOUR CORNERS GENERATING PLANT,Industrial Site,An archival image related to industrial site.
