pair_id,comment_id,article_id,month,is_pick,comment_text,n_tokens,n_chars
5a6e961f10f40f00018be32a_25736809,25736809,5a6e961f10f40f00018be32a,Jan2018,yes,"Oh I see, so the FBI is suddenly biased in favor of Democrats? Is that why Comey (a registered Republican) delivered a public rebuke of Hillary during the campaign, breaking with FBI norms and guidelines, rather than simply state that they could find no basis for pressing charges? Is that why he dropped the ‘bombshell’ (later proven meaningless) that he was reopening the investigation just days before the election, which gave Trump a significant bump in the polls? Is that why he never bothered to mention to the public that Trump too was under investigation during the campaign, for suspected collusion with Russia? Is that why the FBI pursued an investigation into the Clinton Foundation based in part on the book Clinton Cash, which was funded by Steve Bannon, the Koch brothers, and the Mercers among others? So we are really supposed to believe that 2 registered Republicans (Comey and Mueller) and a Bush appointee (Rosenstein) are secretly Hillary lackeys?Seriously, how desperate — and traitorous — are Republicans becoming that they are apparently willing to burn down our democratic institutions in order to save Trump?",223,1133
5a6e961f10f40f00018be32a_25736809,25737487,5a6e961f10f40f00018be32a,Jan2018,no,"For decades, Trump viewed the law with contempt. It certainly never constrained him from stiffing contractors or committing fraud. And Trump knew how to use his money and his lawyers to bully and threaten anyone who stood in his way.
It always worked for him.
Now that he is POTUS he can not act in the manner he is accustomed to and does not have his favorite personal lawyers at his side. He is flapping like a fish on the deck.
Luckily, he has found GOP Congress members who are willing to step in and perform the same services and he does not have to pay the out of his own pocket!! What a 'win'! That Trump now has a myriad of sycophantic toadies to do his bullying and smearing and threatening is beyond reprehensible.
Trump's total lack of knowledge and respect for the office of POTUS lets him act as before but there is no excuse for the GOP Congressional toadies. Rep. Nunes and the others know exactly what they are doing.
I always have to ask why Trump is worthy of such self-debasement. There are other Republicans in DC (Pence) who would advance the GOP agenda without the drama. What are the ties that bind the GOP to Trump? Is there something that both parties are hiding?",257,1188
5a848db810f40f00018c1044_25964850,25964850,5a848db810f40f00018c1044,Feb2018,yes,"Nothing so represents the Trump administration better than Mick Mulvaney's performance this afternoon, fresh from Ash Wednesday service with a cross smudged on his forehead, telling congress today that Trump's military parade will cost between 10M-30M, meanwhile his budget includes drastic cuts to programs for the poor.",64,321
5a848db810f40f00018c1044_25964850,25973478,5a848db810f40f00018c1044,Feb2018,no,"If he's got to have his parade, then let him have it. Let him pay for it with food boxes and let him watch it alone. If he does get his parade, the TV stations should boycott the whole thing and there should be no pictures in the newspapers or online. Who does this guy think he is, Kim Jong Un?",69,295
5a7835c610f40f00018bf884_25834813,25834813,5a7835c610f40f00018bf884,Feb2018,yes,"Here's how we could have stopped the ludicrous Iraq War and coming Iran War:

Reinstitute the military draft.

As soon as middle class/suburban kids start dying for no reason other than filling the coffers of defense contractors, Trump (and the invertebrate GOP) will lose its middle class, soccer-Mom support.",66,310
5a7835c610f40f00018bf884_25834813,25839659,5a7835c610f40f00018bf884,Feb2018,no,"Thank you Col. Wilkerson for your fine work in helping create the smoking ruin that is the new Middle East. Millions of dead, tens of millions of refugees, and who knows how many hell-bent on revenge are the legacy of your ""service."" Aren't you just proud?",58,256
5870f3c195d0e039260797a9_21025557,21025557,5870f3c195d0e039260797a9,Jan2017,yes,"After Jared Kushner paid 300% more for the 666 building than the previous buyer paid for it six years before (hello? can we get an investigation of that suspicious transaction?), it sounds like Jared is getting a bailout in return for access to the office of the president.

Jared sat down and negotiated the 666 deal with the Chinese government, make no mistake. This is a total disaster. Not only is Jared a neophyte in most things but his inability to see an impropriety or appearance of impropriety will be his downfall and possibly the downfall of this administration. You would *think* Trump would be smarter and not let the Kushners in the White House to trade on his presidency. You would *think* Ivanka has enough and can acknowledge she has enough not to need her and her neophyte husband mucking things up.

But, no..... I don't think these people own a mirror.",192,872
5870f3c195d0e039260797a9_21025557,21025820,5870f3c195d0e039260797a9,Jan2017,no,"Has anyone told the Basket people about this?

How many coal mines will be reopening in
Jan?Feb? March? April?
in 2017? 2018? 2019, 2020?

Exxon sells natural gas not coal...
Has anyone told the Basket People that the Con man has hired the head of Exxon to be Sec. of State?

When do we get the first check from Mexico so we can start building the Wall?
Which day Jan 20th or Jan 21st will the Orange Bozo be repealing Obama Care?
Has anyone told the Basket people that the insurance they've been provided with will be going away on Jan 22nd?
T minus 48 months 13 days",158,568
5890b26d95d0e0392607dc5d_21314624,21314624,5890b26d95d0e0392607dc5d,Jan2017,yes,"I was hesitant about this tactic because ultimately we want a functioning government. Heedlessly blocking the opposing party's policies and nominations to score political points simply invites dysfunction.

However...the crucial differences between the Republican opposition to anything Obama tried to do and the current Democratic opposition to Trump are 1) Trump's nominees are, for the most part, either incompetent cronies or leaders who oppose the policies of the departments they are supposed to lead, and 2) Trump himself is an exceptionally, hopefully uniquely terribly leader whose authoritarianistic tendencies must be quelled. Comparing him to Obama, or this situation to Obama's, is a false analogy.

And by the way Republicans, you launched this current climate of obstructionism, so now you own it.",150,812
5890b26d95d0e0392607dc5d_21314624,21316326,5890b26d95d0e0392607dc5d,Jan2017,no,"We are 2 years away from the next national election. The idea that Democrats will be penalized for boycotting does not fit the short-attention-span model under which our government operates. Particularly so with the benighted swing voters who tipped the election to Trump. With a set of incompetent oligarchs nominated across the board, it is only a matter of time before one or more of the cabinet nominees flame out. When that happens, or in the more likely scenario of them crashing the economy or getting us in to an unneeded war, the Democrats can just as easily cast themselves as heroes.",120,594
